guid,tag,text,text_clean,img_exists,img_ok,img_path
4597,negative,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4597.jpg
26,neutral,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\26.jpg
4383,negative,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4383.jpg
212,positive,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\212.jpg
2626,positive,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2626.jpg
3042,neutral,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3042.jpg
4713,positive,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4713.jpg
2073,negative,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2073.jpg
2020,positive,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2020.jpg
2688,negative,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2688.jpg
4956,positive,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4956.jpg
3143,positive,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3143.jpg
3624,positive,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3624.jpg
202,negative,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\202.jpg
4486,positive,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4486.jpg
4895,positive,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4895.jpg
2855,positive,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2855.jpg
3066,positive,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3066.jpg
2100,negative,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2100.jpg
3457,positive,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3457.jpg
4776,positive,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4776.jpg
4784,neutral,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4784.jpg
1921,positive,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1921.jpg
951,negative,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\951.jpg
231,positive,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\231.jpg
396,neutral,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\396.jpg
1305,negative,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1305.jpg
4001,negative,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4001.jpg
3786,negative,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3786.jpg
403,positive,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\403.jpg
3669,negative,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3669.jpg
3244,positive,,,True,True,D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3244.jpg
