guid	text_clean	tag	img_path	img_exists	img_ok
1801		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1801.jpg	True	True
84		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\84.jpg	True	True
3433		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3433.jpg	True	True
724		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\724.jpg	True	True
1432		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1432.jpg	True	True
4955		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4955.jpg	True	True
2855		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2855.jpg	True	True
4773		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4773.jpg	True	True
646		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\646.jpg	True	True
4865		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4865.jpg	True	True
3531		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3531.jpg	True	True
1208		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1208.jpg	True	True
4200		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4200.jpg	True	True
4130		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4130.jpg	True	True
1685		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1685.jpg	True	True
4282		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4282.jpg	True	True
2525		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2525.jpg	True	True
1914		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1914.jpg	True	True
1095		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1095.jpg	True	True
4238		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4238.jpg	True	True
499		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\499.jpg	True	True
4239		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4239.jpg	True	True
1983		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1983.jpg	True	True
2528		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2528.jpg	True	True
1843		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1843.jpg	True	True
392		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\392.jpg	True	True
2542		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2542.jpg	True	True
3759		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3759.jpg	True	True
3010		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3010.jpg	True	True
983		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\983.jpg	True	True
1447		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1447.jpg	True	True
2448		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2448.jpg	True	True
2472		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2472.jpg	True	True
65		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\65.jpg	True	True
4456		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4456.jpg	True	True
1032		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1032.jpg	True	True
4566		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4566.jpg	True	True
982		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\982.jpg	True	True
4653		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4653.jpg	True	True
4116		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4116.jpg	True	True
1138		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1138.jpg	True	True
1073		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1073.jpg	True	True
2839		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2839.jpg	True	True
1633		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1633.jpg	True	True
1643		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1643.jpg	True	True
1859		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1859.jpg	True	True
1212		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1212.jpg	True	True
4530		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4530.jpg	True	True
4957		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4957.jpg	True	True
2786		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2786.jpg	True	True
5078		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\5078.jpg	True	True
1263		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1263.jpg	True	True
1962		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1962.jpg	True	True
2967		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2967.jpg	True	True
303		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\303.jpg	True	True
3893		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3893.jpg	True	True
18		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\18.jpg	True	True
138		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\138.jpg	True	True
3723		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3723.jpg	True	True
4748		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4748.jpg	True	True
4113		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4113.jpg	True	True
792		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\792.jpg	True	True
125		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\125.jpg	True	True
914		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\914.jpg	True	True
3672		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3672.jpg	True	True
4778		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4778.jpg	True	True
641		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\641.jpg	True	True
4026		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4026.jpg	True	True
504		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\504.jpg	True	True
4364		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4364.jpg	True	True
4330		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4330.jpg	True	True
5045		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\5045.jpg	True	True
3814		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3814.jpg	True	True
1831		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1831.jpg	True	True
3628		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3628.jpg	True	True
5125		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\5125.jpg	True	True
2968		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2968.jpg	True	True
372		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\372.jpg	True	True
2556		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2556.jpg	True	True
4384		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\4384.jpg	True	True
1441		neutral	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\1441.jpg	True	True
676		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\676.jpg	True	True
2950		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\2950.jpg	True	True
981		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\981.jpg	True	True
3619		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3619.jpg	True	True
3454		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3454.jpg	True	True
3281		negative	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3281.jpg	True	True
3761		positive	D:\课程\当代人工智能\project5\lab5\Contemporary-AI-lab5\code\data\3761.jpg	True	True
